OrderID,Product,Store,Quantity,Price,OrderDate
ORD14000,Laptop,Yaba,2,205187,2026-04-18
ORD14001,Smartphone,Ikeja,3,284647,2026-04-14
ORD14002,Laptop,Victoria Island,2,223172,2026-04-18
ORD14003,Camera,Victoria Island,2,254959,2026-04-15
ORD14004,Laptop,Ikeja,1,412137,2026-04-18
ORD14005,Smartwatch,Lekki,2,50254,2026-04-16
ORD14006,Laptop,Yaba,4,297151,2026-04-16
ORD14007,Camera,Yaba,2,88768,2026-04-17
ORD14008,Camera,Ikeja,2,379334,2026-04-12
ORD14009,Camera,Lekki,5,342944,2026-04-15
ORD14010,Headphones,Lekki,5,420094,2026-04-18
ORD14011,Headphones,Ikeja,5,65001,2026-04-16
ORD14012,Camera,Victoria Island,5,125061,2026-04-16
ORD14013,Headphones,Lekki,2,156576,2026-04-14
ORD14014,Smartphone,Yaba,5,106429,2026-04-13
ORD14015,Smartwatch,Ikeja,5,214060,2026-04-17
ORD14016,Smartphone,Lekki,2,214717,2026-04-16
ORD14017,Camera,Yaba,3,359169,2026-04-15
ORD14018,Headphones,Ikeja,1,200347,2026-04-14
ORD14019,Smartwatch,Victoria Island,5,221980,2026-04-17
ORD14020,Smartphone,Yaba,2,21103,2026-04-13
ORD14021,Laptop,Lekki,5,346355,2026-04-14
ORD14022,Smartphone,Yaba,2,238532,2026-04-15
ORD14023,Smartwatch,Yaba,3,309769,2026-04-18
ORD14024,Camera,Ikeja,2,195965,2026-04-13
ORD14025,Laptop,Lekki,4,243734,2026-04-18
ORD14026,Smartwatch,Yaba,3,193258,2026-04-13
ORD14027,Laptop,Ikeja,4,490178,2026-04-18
ORD14028,Smartwatch,Yaba,4,164508,2026-04-18
ORD14029,Laptop,Ikeja,5,157782,2026-04-14
ORD14030,Smartphone,Victoria Island,1,339293,2026-04-13
ORD14031,Laptop,Lekki,2,446818,2026-04-18
ORD14032,Smartphone,Yaba,5,337983,2026-04-17
ORD14033,Smartwatch,Ikeja,3,99344,2026-04-15
ORD14034,Smartphone,Victoria Island,1,267757,2026-04-18
ORD14035,Smartwatch,Lekki,3,470406,2026-04-18
ORD14036,Smartphone,Ikeja,4,459775,2026-04-18
ORD14037,Headphones,Yaba,2,349057,2026-04-15
ORD14038,Headphones,Victoria Island,1,369372,2026-04-14
ORD14039,Camera,Lekki,4,327782,2026-04-17
ORD14040,Laptop,Lekki,3,300348,2026-04-16
ORD14041,Laptop,Yaba,4,296276,2026-04-16
ORD14042,Camera,Lekki,1,467085,2026-04-18
ORD14043,Smartwatch,Ikeja,4,488417,2026-04-14
ORD14044,Laptop,Yaba,2,364142,2026-04-14
ORD14045,Headphones,Ikeja,2,207014,2026-04-18
ORD14046,Smartphone,Lekki,5,345983,2026-04-15
ORD14047,Headphones,Yaba,1,222219,2026-04-17
ORD14048,Headphones,Lekki,3,487833,2026-04-14
ORD14049,Smartwatch,Victoria Island,3,448368,2026-04-13
ORD14050,Laptop,Yaba,3,409889,2026-04-13
ORD14051,Smartphone,Ikeja,4,313946,2026-04-12
ORD14052,Smartwatch,Lekki,4,316681,2026-04-12
ORD14053,Laptop,Lekki,5,259240,2026-04-18
ORD14054,Smartphone,Yaba,2,314733,2026-04-16
ORD14055,Laptop,Victoria Island,1,374997,2026-04-15
ORD14056,Laptop,Lekki,4,344865,2026-04-16
ORD14057,Headphones,Yaba,2,417255,2026-04-13
ORD14058,Headphones,Lekki,3,37157,2026-04-16
ORD14059,Smartwatch,Ikeja,5,345215,2026-04-17
ORD14060,Camera,Lekki,1,184672,2026-04-16
ORD14061,Camera,Victoria Island,2,122228,2026-04-14
ORD14062,Headphones,Victoria Island,5,153992,2026-04-18
ORD14063,Laptop,Yaba,3,292228,2026-04-13
ORD14064,Smartwatch,Lekki,4,260027,2026-04-12
ORD14065,Laptop,Yaba,5,138201,2026-04-14
ORD14066,Laptop,Yaba,2,303149,2026-04-18
ORD14067,Camera,Ikeja,1,297706,2026-04-16
ORD14068,Laptop,Ikeja,5,253292,2026-04-16
ORD14069,Laptop,Yaba,1,379556,2026-04-13
ORD14070,Smartwatch,Yaba,3,257264,2026-04-15
